Time,X Value,Y Value
0.01,38987,36198
0.02,37365,32750
0.03,37982,34050
0.04,37426,35419
0.05,36719,32439
0.060000000000000005,37975,34870
0.07,36372,34008
0.08,38387,34261
0.09,36577,33609
0.09999999999999999,37564,35360
0.10999999999999999,37841,35146
0.11999999999999998,38163,32302
0.12999999999999998,37678,33910
0.13999999999999999,39120,33813
0.15,38377,34483
0.16,37393,33783
0.17,35589,32337
0.18000000000000002,37406,36638
0.19000000000000003,37438,36476
0.20000000000000004,38417,32834
0.21000000000000005,37586,35049
0.22000000000000006,38376,33597
0.23000000000000007,36651,34710
0.24000000000000007,36932,34368
0.25000000000000006,37867,35358
0.26000000000000006,36663,35472
0.2700000000000001,36654,35703
0.2800000000000001,36952,32333
0.2900000000000001,37551,33543
0.3000000000000001,36226,34079
0.3100000000000001,38358,33700
0.3200000000000001,36833,34989
0.3300000000000001,38836,35466
0.34000000000000014,35791,34330
0.35000000000000014,37160,33260
0.36000000000000015,36339,33049
0.37000000000000016,37997,35685
0.38000000000000017,38070,33352
0.3900000000000002,38386,34058
0.4000000000000002,38495,35281
0.4100000000000002,36795,33457
0.4200000000000002,36657,34170
0.4300000000000002,36834,34666
0.4400000000000002,38061,33951
0.45000000000000023,40090,34653
0.46000000000000024,36688,33538
0.47000000000000025,37223,34181
0.48000000000000026,37700,32925
0.49000000000000027,36458,34474
0.5000000000000002,36789,34719
0.5100000000000002,38560,34910
0.5200000000000002,35836,35716
0.5300000000000002,38247,34457
0.5400000000000003,38870,33273
0.5500000000000003,37588,33904
0.5600000000000003,38385,33586
0.5700000000000003,37007,33871
0.5800000000000003,36856,34085
0.5900000000000003,36482,34830
0.6000000000000003,38646,35479
0.6100000000000003,38190,34260
0.6200000000000003,39697,34994
0.6300000000000003,37231,36564
0.6400000000000003,35982,34051
0.6500000000000004,36630,36404
0.6600000000000004,37242,33992
0.6700000000000004,39026,35273
0.6800000000000004,37153,33487
0.6900000000000004,36854,35250
0.7000000000000004,39541,34912
0.7100000000000004,36873,34127
0.7200000000000004,38251,35832
0.7300000000000004,38335,32871
0.7400000000000004,37417,34618
0.7500000000000004,37829,34046
0.7600000000000005,37474,33489
0.7700000000000005,37236,34390
0.7800000000000005,36627,34178
0.7900000000000005,36103,34483
0.8000000000000005,37498,35609
0.8100000000000005,37330,35182
0.8200000000000005,38504,34299
0.8300000000000005,37050,35405
0.8400000000000005,35435,35446
0.8500000000000005,38647,32879
0.8600000000000005,37652,34099
0.8700000000000006,36567,33430
0.8800000000000006,36867,33714
0.8900000000000006,38196,32451
0.9000000000000006,37301,32524
0.9100000000000006,38101,33819
0.9200000000000006,37755,35110
0.9300000000000006,36734,34577
0.9400000000000006,38660,33570
0.9500000000000006,37954,33129
0.9600000000000006,36758,34494
0.9700000000000006,36946,34280
0.9800000000000006,38098,36582
0.9900000000000007,36803,34378
1.0000000000000007,36222,34700
1.0100000000000007,37162,34376
1.0200000000000007,37327,35013
1.0300000000000007,36559,34143
1.0400000000000007,39053,33332
1.0500000000000007,37332,35095
1.0600000000000007,37650,33126
1.0700000000000007,37174,34192
1.0800000000000007,37259,35489
1.0900000000000007,38058,34701
1.1000000000000008,36535,34144
1.1100000000000008,35373,35538
1.1200000000000008,36056,35346
1.1300000000000008,37339,34354
1.1400000000000008,37555,32908
1.1500000000000008,37690,34621
1.1600000000000008,35906,34010
1.1700000000000008,39923,30648
1.1800000000000008,36054,36399
1.1900000000000008,37718,36114
1.2000000000000008,37879,34370
1.2100000000000009,37995,33022
1.2200000000000009,37981,34287
1.2300000000000009,36988,32432
1.2400000000000009,35586,35807
1.2500000000000009,36973,33229
1.260000000000001,36703,33127
1.270000000000001,37716,34770
1.280000000000001,34651,33856
1.290000000000001,37100,35650
1.300000000000001,39049,35281
1.310000000000001,37008,33295
1.320000000000001,37756,35981
1.330000000000001,36363,36085
1.340000000000001,37231,35555
1.350000000000001,36681,35513
1.360000000000001,38827,34414
1.370000000000001,36803,35557
1.380000000000001,38093,34114
1.390000000000001,38188,34300
1.400000000000001,37022,32942
1.410000000000001,37354,35461
1.420000000000001,39015,32427
1.430000000000001,36790,34676
1.440000000000001,36547,33955
1.450000000000001,37565,33793
1.460000000000001,36817,32771
1.470000000000001,37415,35446
1.480000000000001,38050,34942
1.490000000000001,37336,32476
1.500000000000001,37927,33600
1.5100000000000011,36827,34968
1.5200000000000011,38127,32156
1.5300000000000011,37337,32771
1.5400000000000011,36445,33796
1.5500000000000012,37889,34049
1.5600000000000012,36485,34872
1.5700000000000012,35701,34151
1.5800000000000012,38062,33928
1.5900000000000012,36558,34507
1.6000000000000012,38823,33263
1.6100000000000012,36706,34631
1.6200000000000012,37145,34044
1.6300000000000012,36064,35359
1.6400000000000012,39559,33740
1.6500000000000012,37190,34648
1.6600000000000013,38781,33738
1.6700000000000013,39086,32848
1.6800000000000013,38658,33437
1.6900000000000013,36812,33838
1.7000000000000013,37332,34848
1.7100000000000013,37308,34575
1.7200000000000013,38039,33608
1.7300000000000013,37062,33356
1.7400000000000013,36933,32259
1.7500000000000013,37091,35851
1.7600000000000013,36729,33614
1.7700000000000014,37301,36153
1.7800000000000014,36989,33437
1.7900000000000014,36087,33779
1.8000000000000014,37884,32732
1.8100000000000014,37738,34706
1.8200000000000014,37989,36479
1.8300000000000014,38348,36354
1.8400000000000014,37373,32815
1.8500000000000014,37660,34764
1.8600000000000014,36461,34070
1.8700000000000014,37577,33754
1.8800000000000014,37429,34283
1.8900000000000015,36984,34102
1.9000000000000015,37830,34941
1.9100000000000015,37312,35219
1.9200000000000015,37371,35575
1.9300000000000015,38037,33572
1.9400000000000015,37680,34068
1.9500000000000015,37689,33045
1.9600000000000015,36338,36089
1.9700000000000015,39074,34343
1.9800000000000015,37368,32740
1.9900000000000015,38168,33360
2.0000000000000013,37811,35688
2.010000000000001,36815,35486
2.020000000000001,39254,32066
2.0300000000000007,39035,35277
2.0400000000000005,38554,33885
2.0500000000000003,38498,33868
2.06,37623,35067
2.07,37489,33822
2.0799999999999996,38451,33217
2.0899999999999994,36420,34018
2.099999999999999,37743,33773
2.109999999999999,37750,34851
2.1199999999999988,37836,35383
2.1299999999999986,36710,35170
2.1399999999999983,35285,33288
2.149999999999998,36899,32416
2.159999999999998,36246,34698
2.1699999999999977,36945,34204
2.1799999999999975,36996,33389
2.1899999999999973,36854,33864
2.199999999999997,36087,34679
2.209999999999997,36497,34239
2.2199999999999966,38308,33559
2.2299999999999964,36945,31923
2.239999999999996,37867,35593
2.249999999999996,38198,34001
2.259999999999996,36976,36034
2.2699999999999956,36566,34198
2.2799999999999954,36783,32655
2.289999999999995,35458,34444
2.299999999999995,36674,32945
2.3099999999999947,37876,35438
2.3199999999999945,36011,35055
2.3299999999999943,37405,34605
2.339999999999994,37652,35297
2.349999999999994,38534,34474
2.3599999999999937,37389,32573
2.3699999999999934,36271,34120
2.3799999999999932,38815,32967
2.389999999999993,36844,34509
2.399999999999993,38636,33955
2.4099999999999926,37961,32574
2.4199999999999924,36937,33647
2.429999999999992,37195,32937
2.439999999999992,36189,34955
2.4499999999999917,36590,33246
2.4599999999999915,36847,36816
2.4699999999999913,36947,36418
2.479999999999991,36900,35763
2.489999999999991,37440,34387
2.4999999999999907,37477,32346
2.5099999999999905,38128,32717
2.5199999999999902,38750,34844
2.52999999999999,36716,35149
2.53999999999999,37454,32771
2.5499999999999896,37385,33651
2.5599999999999894,36520,33485
2.569999999999989,36896,36014
2.579999999999989,38788,34180
2.5899999999999888,36068,33419
2.5999999999999885,37122,36464
2.6099999999999883,36898,34261
2.619999999999988,37772,35564
2.629999999999988,38375,33763
2.6399999999999877,36691,34012
2.6499999999999875,38060,33856
2.6599999999999873,36980,33857
