Time;Channel B;Channel D
(ms);(V);(V)

-5,00001013;0,00000000;0,00000000
-4,99990613;0,00000000;0,00000000
-4,99980213;0,00000000;0,00000000
-4,99969813;0,00000000;0,00000000
-4,99959413;0,00000000;0,00000000
-4,99949013;0,04336860;0,00000000
-4,99938613;0,04336860;0,00000000
-4,99928213;0,00000000;0,00000000
-4,99917813;0,04336860;0,00000000
-4,99907413;0,04336860;0,00000000
-4,99897013;0,04336860;0,01734744
-4,99886613;0,00000000;0,00000000
-4,99876213;0,04336860;0,00000000
-4,99865813;0,00000000;0,00000000
-4,99855413;0,00000000;0,00000000
-4,99845013;0,04336860;0,00000000
-4,99834613;0,00000000;0,00000000
-4,99824213;0,00000000;0,00000000
-4,99813813;0,00000000;0,00000000
-4,99803413;0,00000000;0,00000000
-4,99793013;0,00000000;0,00000000
-4,99782613;0,04336860;0,00000000
-4,99772213;0,04336860;0,00000000
-4,99761813;0,00000000;0,00000000
-4,99751413;0,00000000;0,00000000
-4,99741013;0,00000000;0,00000000
-4,99730613;0,04336860;0,00000000
-4,99720213;0,00000000;0,00000000
-4,99709813;0,00000000;0,00000000
-4,99699413;0,00000000;0,00000000
-4,99689013;0,00000000;0,00000000
-4,99678613;0,00000000;0,00000000
-4,99668213;0,00000000;0,00000000
-4,99657813;0,00000000;0,00000000
-4,99647413;0,00000000;0,00000000
-4,99637013;0,00000000;0,00000000
-4,99626613;0,00000000;0,00000000
-4,99616213;0,00000000;0,00000000
-4,99605813;0,00000000;0,00000000
-4,99595413;0,00000000;0,00000000
-4,99585013;0,00000000;0,00000000
-4,99574613;0,00000000;0,00000000
-4,99564213;0,00000000;0,00000000
-4,99553813;0,00000000;0,00000000
-4,99543413;0,04336860;0,00000000
-4,99533013;0,00000000;0,01734744
-4,99522613;0,04336860;0,00000000
-4,99512213;0,00000000;0,00000000
-4,99501813;0,04336860;0,00000000
-4,99491413;0,04336860;0,00000000
-4,99481013;0,00000000;0,00000000
-4,99470613;0,00000000;0,00000000
-4,99460213;0,04336860;0,00000000
-4,99449813;0,00000000;0,00000000
-4,99439413;0,04336860;0,00000000
-4,99429013;0,04336860;0,00000000
-4,99418613;0,00000000;0,00000000
-4,99408213;0,00000000;0,00000000
-4,99397813;0,04336860;0,00000000
-4,99387413;0,00000000;0,00000000
-4,99377013;0,04336860;0,00000000
-4,99366613;0,00000000;0,00000000
-4,99356213;0,04336860;0,00000000
-4,99345813;0,00000000;0,00000000
-4,99335413;0,04336860;0,00000000
-4,99325013;0,00000000;0,00000000
-4,99314613;0,04336860;0,00000000
-4,99304213;0,00000000;0,00000000
-4,99293813;0,00000000;0,00000000
-4,99283413;0,04336860;0,00000000
-4,99273013;0,00000000;0,00000000
-4,99262613;0,00000000;0,00000000
-4,99252213;0,00000000;0,00000000
-4,99241813;0,00000000;0,00000000
-4,99231413;0,00000000;0,00000000
-4,99221013;0,00000000;0,00000000
-4,99210613;0,04336860;0,00000000
-4,99200213;0,04336860;0,00000000
-4,99189813;0,00000000;0,00000000
-4,99179413;0,00000000;0,00000000
-4,99169013;0,00000000;0,00000000
-4,99158613;0,00000000;0,00000000
-4,99148213;0,00000000;0,00000000
-4,99137813;0,00000000;0,00000000
-4,99127413;0,04336860;0,00000000
-4,99117013;0,00000000;0,00000000
-4,99106613;0,00000000;0,00000000
-4,99096213;0,00000000;0,00000000
-4,99085813;0,04336860;0,00000000
-4,99075413;0,00000000;0,00000000
-4,99065013;0,00000000;0,00000000
-4,99054613;0,00000000;0,00000000
-4,99044213;0,00000000;0,00000000
-4,99033813;0,04336860;0,00000000
-4,99023413;0,00000000;0,00000000
-4,99013013;0,00000000;0,00000000
-4,99002613;0,00000000;0,00000000
-4,98992213;0,00000000;0,00000000
-4,98981813;0,00000000;0,00000000
-4,98971413;0,00000000;0,00000000
-4,98961013;0,00000000;0,00000000
-4,98950613;0,00000000;0,00000000
-4,98940213;0,04336860;0,00000000
-4,98929813;0,00000000;0,00000000
-4,98919413;0,04336860;0,00000000
-4,98909013;0,00000000;0,00000000
-4,98898613;0,00000000;0,00000000
-4,98888213;0,00000000;0,00000000
-4,98877813;0,04336860;0,00000000
-4,98867413;0,00000000;0,00000000
-4,98857013;0,00000000;0,00000000
-4,98846613;0,00000000;0,00000000
-4,98836213;0,04336860;0,00000000
-4,98825813;0,00000000;0,00000000
-4,98815413;0,04336860;0,00000000
-4,98805013;0,00000000;0,00000000
-4,98794613;0,04336860;0,00000000
-4,98784213;0,00000000;0,00000000
-4,98773813;0,04336860;0,00000000
-4,98763413;0,04336860;0,00000000
