Time;Channel B;Channel D
(ms);(V);(V)

-4,98263981;2,00079966;1,19863439
-4,98253581;2,00079966;1,18128693
-4,98243181;2,04432201;1,19863439
-4,98232781;2,00079966;1,18128693
-4,98222381;2,00079966;1,19863439
-4,98211981;2,00079966;1,19863439
-4,98201581;2,00079966;1,19863439
-4,98191181;2,00079966;1,18128693
-4,98180781;2,04432201;1,19863439
-4,98170381;2,00079966;1,18128693
-4,98159981;2,00079966;1,19863439
-4,98149581;2,00079966;1,19863439
-4,98139181;2,00079966;1,19863439
-4,98128781;2,00079966;1,19863439
-4,98118381;2,04432201;1,19863439
-4,98107981;2,00079966;1,19863439
-4,98097581;2,00079966;1,19863439
-4,98087181;2,00079966;1,18128693
-4,98076781;2,04432201;1,18128693
-4,98066381;2,00079966;1,18128693
-4,98055981;2,00079966;1,19863439
-4,98045581;2,00079966;1,19863439
-4,98035181;2,00079966;1,19863439
-4,98024781;2,00079966;1,19863439
-4,98014381;2,00079966;1,18128693
-4,98003981;2,00079966;1,18128693
-4,97993581;2,04432201;1,19863439
-4,97983181;2,00079966;1,18128693
-4,97972781;2,00079966;1,19863439
-4,97962381;2,04432201;1,18128693
-4,97951981;2,04432201;1,18128693
-4,97941581;2,00079966;1,19863439
-4,97931181;2,00079966;1,18128693
-4,97920781;2,04432201;1,18128693
-4,97910381;2,00079966;1,18128693
-4,97899981;2,00079966;1,18128693
-4,97889581;2,00079966;1,18128693
-4,97879181;2,00079966;1,18128693
-4,97868781;2,00079966;1,19863439
-4,97858381;2,00079966;1,18128693
-4,97847981;2,00079966;1,19863439
-4,97837581;2,00079966;1,19863439
-4,97827181;2,00079966;1,18128693
-4,97816781;2,00079966;1,16387796
-4,97806381;2,00079966;1,18128693
-4,97795981;2,00079966;1,18128693
-4,97785581;2,00079966;1,18128693
-4,97775181;2,00079966;1,18128693
-4,97764781;2,00079966;1,18128693
-4,97754381;2,00079966;1,18128693
-4,97743981;2,00079966;1,16387796
-4,97733581;2,04432201;1,18128693
-4,97723181;2,00079966;1,18128693
-4,97712781;2,00079966;1,18128693
-4,97702381;2,00079966;1,18128693
-4,97691981;2,00079966;1,18128693
-4,97681581;2,00079966;1,18128693
-4,97671181;2,00079966;1,19863439
-4,97660781;2,00079966;1,18128693
-4,97650381;2,00079966;1,16387796
-4,97639981;2,00079966;1,18128693
-4,97629581;2,00079966;1,18128693
-4,97619181;2,00079966;1,18128693
-4,97608781;2,00079966;1,19863439
-4,97598381;2,00079966;1,18128693
-4,97587981;2,00079966;1,18128693
-4,97577581;2,00079966;1,19863439
-4,97567181;2,00079966;1,18128693
-4,97556781;2,00079966;1,19863439
-4,97546381;1,95727730;1,18128693
-4,97535981;2,00079966;1,19863439
-4,97525581;2,00079966;1,19863439
-4,97515181;2,00079966;1,19863439
-4,97504781;2,00079966;1,18128693
-4,97494381;2,04432201;1,18128693
-4,97483981;2,00079966;1,19863439
-4,97473581;2,00079966;1,19863439
-4,97463181;2,00079966;1,19863439
-4,97452781;2,00079966;1,19863439
-4,97442381;2,00079966;1,18128693
-4,97431981;2,00079966;1,19863439
-4,97421581;2,04432201;1,18128693
-4,97411181;2,00079966;1,19863439
-4,97400781;2,00079966;1,19863439
-4,97390381;2,00079966;1,19863439
-4,97379981;2,00079966;1,19863439
-4,97369581;2,00079966;1,19863439
-4,97359181;2,00079966;1,19863439
-4,97348781;2,00079966;1,19863439
-4,97338381;2,00079966;1,18128693
-4,97327981;2,00079966;1,19863439
-4,97317581;2,00079966;1,21598184
-4,97307181;2,00079966;1,19863439
-4,97296781;2,00079966;1,19863439
-4,97286381;2,00079966;1,19863439
-4,97275981;1,95727730;1,21598184
-4,97265581;2,04432201;1,19863439
-4,97255181;2,00079966;1,21598184
-4,97244781;2,04432201;1,21598184
-4,97234381;2,00079966;1,21598184
-4,97223981;2,04432201;1,19863439
-4,97213581;1,95727730;1,19863439
-4,97203181;2,00079966;1,19863439
-4,97192781;2,00079966;1,19863439
-4,97182381;2,00079966;1,19863439
-4,97171981;1,95727730;1,19863439
-4,97161581;2,00079966;1,21598184
-4,97151181;2,00079966;1,19863439
-4,97140781;2,04432201;1,19863439
-4,97130381;2,00079966;1,19863439
-4,97119981;2,00079966;1,19863439
-4,97109581;2,00079966;1,19863439
