Time;Channel B;Channel D
(ms);(V);(V)

-5,00001200;0,04336860;0,00000000
-4,99990800;0,00000000;0,00000000
-4,99980400;0,00000000;0,00000000
-4,99970000;0,00000000;0,00000000
-4,99959600;0,04336860;0,00000000
-4,99949200;0,00000000;0,00000000
-4,99938800;0,00000000;0,00000000
-4,99928400;0,00000000;0,00000000
-4,99918000;0,00000000;0,00000000
-4,99907600;0,00000000;0,00000000
-4,99897200;0,00000000;0,00000000
-4,99886800;0,00000000;0,00000000
-4,99876400;0,04336860;0,00000000
-4,99866000;0,00000000;-0,01734744
-4,99855600;0,04336860;0,00000000
-4,99845200;0,00000000;0,00000000
-4,99834800;0,04336860;0,00000000
-4,99824400;0,00000000;0,00000000
-4,99814000;0,00000000;0,00000000
-4,99803600;0,00000000;0,00000000
-4,99793200;0,04336860;0,00000000
-4,99782800;0,00000000;0,00000000
-4,99772400;0,00000000;0,00000000
-4,99762000;0,00000000;0,00000000
-4,99751600;0,00000000;0,00000000
-4,99741200;0,00000000;0,00000000
-4,99730800;0,00000000;0,00000000
-4,99720400;0,00000000;0,00000000
-4,99710000;0,00000000;0,00000000
-4,99699600;0,04336860;0,00000000
-4,99689200;0,00000000;0,00000000
-4,99678800;0,00000000;0,00000000
-4,99668400;0,04336860;0,00000000
-4,99658000;0,00000000;0,00000000
-4,99647600;0,00000000;0,00000000
-4,99637200;0,00000000;0,00000000
-4,99626800;0,00000000;0,00000000
-4,99616400;0,00000000;0,00000000
-4,99606000;0,00000000;0,00000000
-4,99595600;0,04336860;0,00000000
-4,99585200;0,00000000;0,00000000
-4,99574800;0,00000000;0,00000000
-4,99564400;0,04336860;0,00000000
-4,99554000;0,04336860;0,00000000
-4,99543600;0,00000000;0,00000000
-4,99533200;-0,04336860;0,00000000
-4,99522800;0,00000000;0,00000000
-4,99512400;0,00000000;0,00000000
-4,99502000;0,00000000;0,00000000
-4,99491600;0,00000000;0,00000000
-4,99481200;0,00000000;0,00000000
-4,99470800;0,00000000;0,00000000
-4,99460400;0,00000000;0,00000000
-4,99450000;0,00000000;0,00000000
-4,99439600;0,00000000;0,00000000
-4,99429200;0,00000000;0,00000000
-4,99418800;0,04336860;0,00000000
-4,99408400;0,00000000;0,00000000
-4,99398000;0,04336860;0,00000000
-4,99387600;0,00000000;0,00000000
-4,99377200;0,00000000;0,00000000
-4,99366800;0,00000000;0,00000000
-4,99356400;0,00000000;0,00000000
-4,99346000;0,00000000;0,00000000
-4,99335600;0,00000000;0,00000000
-4,99325200;0,00000000;0,00000000
-4,99314800;0,04336860;0,00000000
-4,99304400;0,00000000;0,00000000
-4,99294000;0,04336860;0,00000000
-4,99283600;0,00000000;0,00000000
-4,99273200;0,00000000;0,00000000
-4,99262800;0,00000000;0,00000000
-4,99252400;0,00000000;0,00000000
-4,99242000;0,00000000;0,00000000
-4,99231600;0,00000000;0,00000000
-4,99221200;0,00000000;0,00000000
-4,99210800;0,04336860;0,00000000
-4,99200400;0,00000000;0,00000000
-4,99190000;0,00000000;0,00000000
-4,99179600;0,04336860;0,00000000
-4,99169200;0,00000000;0,00000000
-4,99158800;0,00000000;0,00000000
-4,99148400;0,00000000;0,00000000
-4,99138000;0,04336860;0,00000000
-4,99127600;0,04336860;0,00000000
-4,99117200;0,00000000;0,00000000
-4,99106800;0,00000000;0,00000000
-4,99096400;0,00000000;0,00000000
-4,99086000;0,00000000;0,00000000
-4,99075600;0,00000000;-0,01734744
-4,99065200;0,04336860;0,00000000
-4,99054800;0,04336860;0,00000000
-4,99044400;0,00000000;0,00000000
-4,99034000;0,00000000;0,00000000
-4,99023600;0,04336860;0,00000000
-4,99013200;0,00000000;0,00000000
-4,99002800;0,00000000;0,00000000
-4,98992400;0,00000000;0,00000000
-4,98982000;0,00000000;0,00000000
-4,98971600;0,00000000;0,00000000
-4,98961200;0,00000000;0,00000000
-4,98950800;0,00000000;0,00000000
-4,98940400;0,00000000;0,00000000
-4,98930000;0,00000000;0,00000000
-4,98919600;0,00000000;0,00000000
-4,98909200;0,04336860;0,00000000
-4,98898800;0,00000000;0,00000000
-4,98888400;0,00000000;0,00000000
-4,98878000;0,00000000;0,00000000
-4,98867600;0,00000000;0,00000000
-4,98857200;0,00000000;0,00000000
-4,98846800;0,00000000;0,00000000
-4,98836400;0,00000000;0,00000000
-4,98826000;0,00000000;0,00000000
-4,98815600;0,00000000;0,00000000
-4,98805200;0,04336860;0,00000000
-4,98794800;0,00000000;0,00000000
-4,98784400;0,00000000;0,00000000
-4,98774000;0,00000000;0,00000000
-4,98763600;0,00000000;0,00000000
