Time,Value
0.01,34000
0.02,34247
0.03,34494
0.04,34737
0.05,34978
0.060000000000000005,35213
0.07,35442
0.08,35663
0.09,35877
0.09999999999999999,36080
0.10999999999999999,36273
0.11999999999999998,36455
0.12999999999999998,36624
0.13999999999999999,36780
0.15,36921
0.16,37048
0.17,37160
0.18000000000000002,37255
0.19000000000000003,37334
0.20000000000000004,37395
0.21000000000000005,37437
0.22000000000000006,37437
0.23000000000000007,37437
0.24000000000000007,37437
0.25000000000000006,37437
0.26000000000000006,37399
0.2700000000000001,37339
0.2800000000000001,37261
0.2900000000000001,37167
0.3000000000000001,37057
0.3100000000000001,36931
0.3200000000000001,36791
0.3300000000000001,36636
0.34000000000000014,36468
0.35000000000000014,36287
0.36000000000000015,36095
0.37000000000000016,35892
0.38000000000000017,35679
0.3900000000000002,35458
0.4000000000000002,35229
0.4100000000000002,34995
0.4200000000000002,34755
0.4300000000000002,34511
0.4400000000000002,34265
0.45000000000000023,34017
0.46000000000000024,33770
0.47000000000000025,33523
0.48000000000000026,33279
0.49000000000000027,33039
0.5000000000000002,32803
0.5100000000000002,32574
0.5200000000000002,32351
0.5300000000000002,32138
0.5400000000000003,31933
0.5500000000000003,31739
0.5600000000000003,31557
0.5700000000000003,31387
0.5800000000000003,31230
0.5900000000000003,31087
0.6000000000000003,30959
0.6100000000000003,30847
0.6200000000000003,30750
0.6300000000000003,30671
0.6400000000000003,30608
0.6500000000000004,30562
0.6600000000000004,30533
0.6700000000000004,30523
0.6800000000000004,30530
0.6900000000000004,30554
0.7000000000000004,30596
0.7100000000000004,30655
0.7200000000000004,30732
0.7300000000000004,30825
0.7400000000000004,30934
0.7500000000000004,31058
0.7600000000000005,31198
0.7700000000000005,31352
0.7800000000000005,31519
0.7900000000000005,31699
0.8000000000000005,31890
0.8100000000000005,32092
0.8200000000000005,32304
0.8300000000000005,32525
0.8400000000000005,32753
0.8500000000000005,32987
0.8600000000000005,33227
0.8700000000000006,33470
0.8800000000000006,33716
0.8900000000000006,33964
0.9000000000000006,34211
0.9100000000000006,34458
0.9200000000000006,34702
0.9300000000000006,34943
0.9400000000000006,35179
0.9500000000000006,35409
0.9600000000000006,35632
0.9700000000000006,35846
0.9800000000000006,36051
0.9900000000000007,36246
1.0000000000000007,36429
1.0100000000000007,36600
1.0200000000000007,36758
1.0300000000000007,36902
1.0400000000000007,37031
1.0500000000000007,37144
1.0600000000000007,37242
1.0700000000000007,37323
1.0800000000000007,37388
1.0900000000000007,37435
1.1000000000000008,37437
1.1100000000000008,37437
1.1200000000000008,37437
1.1300000000000008,37437
1.1400000000000008,37407
1.1500000000000008,37348
1.1600000000000008,37273
1.1700000000000008,37182
1.1800000000000008,37074
1.1900000000000008,36950
1.2000000000000008,36812
1.2100000000000009,36659
1.2200000000000009,36493
1.2300000000000009,36314
1.2400000000000009,36123
1.2500000000000009,35922
1.260000000000001,35710
1.270000000000001,35490
1.280000000000001,35263
1.290000000000001,35029
1.300000000000001,34790
1.310000000000001,34547
1.320000000000001,34301
1.330000000000001,34053
1.340000000000001,33805
1.350000000000001,33559
1.360000000000001,33314
1.370000000000001,33073
1.380000000000001,32837
1.390000000000001,32606
1.400000000000001,32383
1.410000000000001,32168
1.420000000000001,31962
1.430000000000001,31767
1.440000000000001,31582
1.450000000000001,31411
1.460000000000001,31252
1.470000000000001,31107
1.480000000000001,30977
1.490000000000001,30862
1.500000000000001,30763
1.5100000000000011,30681
1.5200000000000011,30616
1.5300000000000011,30567
1.5400000000000011,30536
1.5500000000000012,30523
1.5600000000000012,30527
1.5700000000000012,30549
1.5800000000000012,30589
1.5900000000000012,30646
1.6000000000000012,30720
1.6100000000000012,30810
1.6200000000000012,30917
1.6300000000000012,31039
1.6400000000000012,31177
1.6500000000000012,31329
1.6600000000000013,31494
1.6700000000000013,31672
1.6800000000000013,31862
1.6900000000000013,32063
1.7000000000000013,32273
1.7100000000000013,32492
1.7200000000000013,32719
1.7300000000000013,32953
1.7400000000000013,33192
1.7500000000000013,33435
1.7600000000000013,33680
1.7700000000000014,33928
1.7800000000000014,34176
1.7900000000000014,34423
1.8000000000000014,34667
1.8100000000000014,34909
1.8200000000000014,35145
1.8300000000000014,35376
1.8400000000000014,35600
1.8500000000000014,35816
1.8600000000000014,36022
1.8700000000000014,36219
1.8800000000000014,36404
1.8900000000000015,36577
1.9000000000000015,36736
1.9100000000000015,36882
1.9200000000000015,37013
1.9300000000000015,37129
1.9400000000000015,37229
1.9500000000000015,37313
1.9600000000000015,37379
1.9700000000000015,37429
1.9800000000000015,37437
1.9900000000000015,37437
2.0000000000000013,37437
2.010000000000001,37437
2.020000000000001,37413
2.0300000000000007,37358
2.0400000000000005,37285
2.0500000000000003,37196
2.06,37090
2.07,36969
2.0799999999999996,36833
2.0899999999999994,36682
2.099999999999999,36518
2.109999999999999,36340
2.1199999999999988,36151
2.1299999999999986,35951
2.1399999999999983,35741
2.149999999999998,35523
2.159999999999998,35296
2.1699999999999977,35063
2.1799999999999975,34825
2.1899999999999973,34582
2.199999999999997,34336
2.209999999999997,34089
2.2199999999999966,33841
2.2299999999999964,33594
2.239999999999996,33349
2.249999999999996,33108
2.259999999999996,32871
2.2699999999999956,32639
2.2799999999999954,32415
2.289999999999995,32198
2.299999999999995,31991
2.3099999999999947,31794
2.3199999999999945,31608
2.3299999999999943,31435
2.339999999999994,31274
2.349999999999994,31127
2.3599999999999937,30995
2.3699999999999934,30878
2.3799999999999932,30777
2.389999999999993,30692
2.399999999999993,30624
2.4099999999999926,30573
