Time,X Value,Y Value
0.01,35197,32564
0.02,38130,34131
0.03,36613,34329
0.04,38327,32163
0.05,35411,34437
0.060000000000000005,35441,33591
0.07,34203,33822
0.08,35397,34352
0.09,36593,34992
0.09999999999999999,36937,34830
0.10999999999999999,37562,32125
0.11999999999999998,36627,34115
0.12999999999999998,37662,32987
0.13999999999999999,35985,33205
0.15,35228,31892
0.16,35341,33660
0.17,38109,34588
0.18000000000000002,35719,33019
0.19000000000000003,37716,34005
0.20000000000000004,36810,32011
0.21000000000000005,35317,32802
0.22000000000000006,36728,32880
0.23000000000000007,37672,33532
0.24000000000000007,37515,33942
0.25000000000000006,37594,32627
0.26000000000000006,37114,31924
0.2700000000000001,35568,34167
0.2800000000000001,35364,32849
0.2900000000000001,36246,33886
0.3000000000000001,37012,34172
0.3100000000000001,37193,33324
0.3200000000000001,36529,34676
0.3300000000000001,35826,32778
0.34000000000000014,37589,36817
0.35000000000000014,37574,32980
0.36000000000000015,35053,32450
0.37000000000000016,36006,33403
0.38000000000000017,35827,34462
0.3900000000000002,38796,33136
0.4000000000000002,36185,33876
0.4100000000000002,36517,33258
0.4200000000000002,37787,33869
0.4300000000000002,36535,35039
0.4400000000000002,35464,32993
0.45000000000000023,36772,31779
0.46000000000000024,36036,31668
0.47000000000000025,36089,33224
0.48000000000000026,36060,35104
0.49000000000000027,37692,32624
0.5000000000000002,35323,33510
0.5100000000000002,37315,34523
0.5200000000000002,37499,31458
0.5300000000000002,35564,32952
0.5400000000000003,36122,32475
0.5500000000000003,38210,33585
0.5600000000000003,35742,32968
0.5700000000000003,36320,32489
0.5800000000000003,37868,33431
0.5900000000000003,36200,33873
0.6000000000000003,36344,32639
0.6100000000000003,35132,32852
0.6200000000000003,36465,34183
0.6300000000000003,35568,32669
0.6400000000000003,36815,34355
0.6500000000000004,37725,34913
0.6600000000000004,36966,34940
0.6700000000000004,37255,33054
0.6800000000000004,36647,34983
0.6900000000000004,37004,33694
0.7000000000000004,36700,34034
0.7100000000000004,37359,31679
0.7200000000000004,34366,35112
0.7300000000000004,37360,33026
0.7400000000000004,35890,33639
0.7500000000000004,35652,34573
0.7600000000000005,36719,33457
0.7700000000000005,35463,32256
0.7800000000000005,36596,34356
0.7900000000000005,36104,33960
0.8000000000000005,36124,32450
