std,mean,threshold,BER
0.4,0.4,0.5,0.4014449127031908
0.5,0,0.5,0.4108010801080108
0.5,0.1,0.5,0.3898773536016583
0.5,0.2,0.5,0.4083883871749803
0.5,0.3,0.5,0.4097251083536187
0.5,0.4,0.5,0.4072524407252441
0.1,0,0.55,0.10080490609428899
0.1,0.1,0.55,0.044993662864385296
0.1,0.2,0.55,0.07225997045790251
0.1,0.3,0.55,0.23010740270239058
0.1,0.4,0.55,0.42812254516889237
0.2,0,0.55,0.23297853362668727
0.2,0.1,0.55,0.1722831391009817
0.2,0.2,0.55,0.20113196306225797
0.2,0.3,0.55,0.2877060317835411
0.2,0.4,0.55,0.3847614381086544
0.3,0,0.55,0.316014317053458
0.3,0.1,0.55,0.2965348227516243
0.3,0.2,0.55,0.2802959135744481
0.3,0.3,0.55,0.3446185245212798
0.3,0.4,0.55,0.39911090583684544
0.4,0,0.55,0.37542965509067205
0.4,0.1,0.55,0.36309695258943486
0.4,0.2,0.55,0.37929797285176103
0.4,0.3,0.55,0.3865252500903941
0.4,0.4,0.55,0.40716435881998797
0.5,0,0.55,0.4152415241524152
0.5,0.1,0.55,0.39385040594230436
0.5,0.2,0.55,0.4142675313655373
0.5,0.3,0.55,0.4148904589443686
0.5,0.4,0.55,0.41172710367271037
0.1,0,0.6,0.10885396703717899
0.1,0.1,0.6,0.04954487844221685
0.1,0.2,0.6,0.07887740029542098
0.1,0.3,0.6,0.24512068368171844
0.1,0.4,0.6,0.436340564384555
0.2,0,0.6,0.24195754296247846
0.2,0.1,0.6,0.18100924278087147
0.2,0.2,0.6,0.21316651772415848
0.2,0.3,0.6,0.2973356176522715
0.2,0.4,0.6,0.39235621975868196
0.3,0,0.6,0.3207481815032906
0.3,0.1,0.6,0.3032030092328736
0.3,0.2,0.6,0.29062940347581023
0.3,0.3,0.6,0.35212197610901014
0.3,0.4,0.6,0.4045378442353213
0.4,0,0.6,0.3806447789498637
0.4,0.1,0.6,0.3774410968373754
0.4,0.2,0.6,0.38557675058302937
0.4,0.3,0.6,0.3913462697360492
0.4,0.4,0.6,0.41270319084888624
0.5,0,0.6,0.41998199819981996
0.5,0.1,0.6,0.39903264812575573
0.5,0.2,0.6,0.41838899327231954
0.5,0.3,0.6,0.4204714124562133
0.5,0.4,0.6,0.4152138540213854
0.1,0,0.65,0.11881947106170947
0.1,0.1,0.65,0.0538080424011983
0.1,0.2,0.65,0.08768094534711965
0.1,0.3,0.65,0.2591523270585518
0.1,0.4,0.65,0.44262493202006165
0.2,0,0.65,0.25170957959207946
0.2,0.1,0.65,0.18944830357655434
0.2,0.2,0.65,0.22287756925826632
0.2,0.3,0.65,0.30566550481479293
0.2,0.4,0.65,0.40025724260427514
0.3,0,0.65,0.32634799676711695
0.3,0.1,0.65,0.31009916790151604
0.3,0.2,0.65,0.2986143729450446
0.3,0.3,0.65,0.3600456209856534
0.3,0.4,0.65,0.4095606489232723
0.4,0,0.65,0.38639326774919996
0.4,0.1,0.65,0.38302897632352095
0.4,0.2,0.65,0.3914967410153681
0.4,0.3,0.65,0.395624924671568
0.4,0.4,0.65,0.41782059000602045
0.5,0,0.65,0.42304230423042305
0.5,0.1,0.65,0.40479069499625725
0.5,0.2,0.65,0.4224498454451785
0.5,0.3,0.65,0.4259929941221873
0.5,0.4,0.65,0.41835192933519294
0.1,0,0.7,0.1297431966270602
0.1,0.1,0.7,0.05761032377001959
0.1,0.2,0.7,0.09577548005908419
0.1,0.3,0.7,0.2746852985333179
0.1,0.4,0.7,0.4493927125506073
0.2,0,0.7,0.2602128798239876
0.2,0.1,0.7,0.1985188587174924
0.2,0.2,0.7,0.23294608281203455
0.2,0.3,0.7,0.313463697052047
0.2,0.4,0.7,0.4057695841244564
0.3,0,0.7,0.3314859715968133
0.3,0.1,0.7,0.316311410007979
0.3,0.2,0.7,0.3066580554250822
0.3,0.3,0.7,0.36796926586229667
0.3,0.4,0.7,0.4158535881300156
0.4,0,0.7,0.3916676543795188
0.4,0.1,0.7,0.3894233538798318
0.4,0.2,0.7,0.39729713568139685
0.4,0.3,0.7,0.40116909726407135
0.4,0.4,0.7,0.42317880794701984
0.5,0,0.7,0.4279027902790279
0.5,0.1,0.7,0.40922439108654346
0.5,0.2,0.7,0.42741984362688645
0.5,0.3,0.7,0.43258326901383365
0.5,0.4,0.7,0.4213156671315667
0.1,0,0.75,0.1379839018781142
0.1,0.1,0.75,0.0620463187003111
0.1,0.2,0.75,0.10404726735598227
0.1,0.3,0.75,0.3132001385841321
0.1,0.4,0.75,0.4549519608435555
0.2,0,0.75,0.26847832550395434
0.2,0.1,0.75,0.20621160801423732
0.2,0.2,0.75,0.24289544235924934
0.2,0.3,0.75,0.32191173864240563
0.2,0.4,0.75,0.4115269186010902
0.3,0,0.75,0.3387599584343609
0.3,0.1,0.75,0.3225806451612903
0.3,0.2,0.75,0.3162282761860028
0.3,0.3,0.75,0.37619304880244914
0.3,0.4,0.75,0.42156919346458055
0.4,0,0.75,0.3971790920943463
0.4,0.1,0.75,0.3949536263609655
0.4,0.2,0.75,0.40321712611373556
0.4,0.3,0.75,0.4074966855489936
0.4,0.4,0.75,0.42733293196869354
0.5,0,0.75,0.4316231623162316
0.5,0.1,0.75,0.4126792192088444
0.5,0.2,0.75,0.4311170373962058
0.5,0.3,0.75,0.4364424389954284
0.5,0.4,0.75,0.4336936308693631
0.1,0,0.8,0.1488118052893829
0.1,0.1,0.8,0.06867150593386334
0.1,0.2,0.8,0.11391432791728212
0.1,0.3,0.8,0.32948377410786467
0.1,0.4,0.8,0.46244486071665963
0.2,0,0.8,0.27614913480406733
0.2,0.1,0.8,0.21671737757620987
0.2,0.2,0.8,0.2539171879654453
0.2,0.3,0.8,0.33012347137708986
0.2,0.4,0.8,0.41642677773014025
0.3,0,0.8,0.34407112342685603
0.3,0.1,0.8,0.32896386640829817
0.3,0.2,0.8,0.32538750587130105
0.3,0.3,0.8,0.38309622426316103
0.3,0.4,0.8,0.4268229317014029
0.4,0,0.8,0.40197937655564775
0.4,0.1,0.8,0.4015208249323118
0.4,0.2,0.8,0.40841954194821506
0.4,0.3,0.8,0.41394479932505723
0.4,0.4,0.8,0.4317278747742324
0.5,0,0.8,0.4346234623462346
0.5,0.1,0.8,0.41601888639373524
0.5,0.2,0.8,0.4355415479726044
0.5,0.3,0.8,0.44142967404856615
0.5,0.4,0.8,0.4441538819153882
