Time,X Value,Y Value
0.01,35827,31362
0.02,36153,36825
0.03,36125,33325
0.04,37401,33270
0.05,36805,37485
0.060000000000000005,37687,29409
0.07,37849,32911
0.08,37499,29792
0.09,33952,31588
0.09999999999999999,36112,33649
0.10999999999999999,36405,34307
0.11999999999999998,33573,34661
0.12999999999999998,39370,34121
0.13999999999999999,34406,30644
0.15,32700,38540
0.16,36786,33650
0.17,37622,36280
0.18000000000000002,35948,31619
0.19000000000000003,36724,30764
0.20000000000000004,35575,28761
0.21000000000000005,36260,28800
0.22000000000000006,36542,42300
0.23000000000000007,39261,31362
0.24000000000000007,37870,35257
0.25000000000000006,34674,32282
0.26000000000000006,35606,30540
0.2700000000000001,35483,35298
0.2800000000000001,34450,31642
0.2900000000000001,33180,26372
0.3000000000000001,37999,39222
0.3100000000000001,36564,30132
0.3200000000000001,38527,27060
0.3300000000000001,38279,33649
0.34000000000000014,38471,27211
0.35000000000000014,39262,28839
0.36000000000000015,34015,35361
0.37000000000000016,38923,30486
0.38000000000000017,36390,34420
0.3900000000000002,37444,33939
0.4000000000000002,34438,26409
0.4100000000000002,36969,34318
0.4200000000000002,39248,32919
0.4300000000000002,35951,39790
0.4400000000000002,35670,32424
0.45000000000000023,36373,30478
0.46000000000000024,37550,24000
0.47000000000000025,40155,29044
0.48000000000000026,38017,31080
0.49000000000000027,36161,40692
0.5000000000000002,36798,32147
0.5100000000000002,37934,34658
0.5200000000000002,38860,32133
0.5300000000000002,36331,26866
0.5400000000000003,36112,30835
0.5500000000000003,36370,36265
0.5600000000000003,36169,34852
0.5700000000000003,34076,38925
0.5800000000000003,36624,34336
0.5900000000000003,36718,31681
0.6000000000000003,41423,34603
0.6100000000000003,34693,31345
0.6200000000000003,36094,38235
0.6300000000000003,38045,36878
0.6400000000000003,38362,33265
0.6500000000000004,34981,33696
0.6600000000000004,35831,29093
0.6700000000000004,34449,30131
0.6800000000000004,36441,33586
0.6900000000000004,36127,42300
0.7000000000000004,39939,36590
0.7100000000000004,38444,34624
0.7200000000000004,35476,36709
0.7300000000000004,39495,28915
0.7400000000000004,36363,28796
0.7500000000000004,35757,30275
0.7600000000000005,38385,32607
0.7700000000000005,34563,39391
0.7800000000000005,37266,35822
0.7900000000000005,37669,31786
0.8000000000000005,36261,33941
0.8100000000000005,37114,34515
0.8200000000000005,40479,25514
0.8300000000000005,37660,35772
0.8400000000000005,36219,32120
0.8500000000000005,35330,30590
0.8600000000000005,37070,32806
0.8700000000000006,37142,35028
0.8800000000000006,33879,37525
0.8900000000000006,37249,32669
0.9000000000000006,36777,35975
0.9100000000000006,35195,30601
0.9200000000000006,36930,38921
0.9300000000000006,35408,33878
0.9400000000000006,36018,35669
0.9500000000000006,35647,29379
0.9600000000000006,37003,30411
0.9700000000000006,36677,26142
0.9800000000000006,38309,31035
0.9900000000000007,35112,39702
1.0000000000000007,36892,29903
1.0100000000000007,36785,28885
1.0200000000000007,36821,29957
1.0300000000000007,35859,37698
1.0400000000000007,37749,31777
1.0500000000000007,36897,27857
1.0600000000000007,34083,32569
1.0700000000000007,34825,37088
1.0800000000000007,36655,30131
1.0900000000000007,37302,33494
1.1000000000000008,37705,40080
1.1100000000000008,37197,30740
1.1200000000000008,36992,36463
1.1300000000000008,37708,40392
1.1400000000000008,38598,33270
1.1500000000000008,39546,37242
1.1600000000000008,37312,38553
1.1700000000000008,36467,35763
1.1800000000000008,37905,36535
1.1900000000000008,34153,30336
1.2000000000000008,37710,28356
1.2100000000000009,37396,28675
1.2200000000000009,39221,31019
1.2300000000000009,35704,32066
1.2400000000000009,40245,37435
1.2500000000000009,38834,33862
1.260000000000001,37185,28151
1.270000000000001,36758,27355
1.280000000000001,36894,35751
1.290000000000001,38422,33826
1.300000000000001,37362,34707
1.310000000000001,38499,35698
1.320000000000001,36573,35390
1.330000000000001,37562,35628
1.340000000000001,35283,38068
1.350000000000001,37990,25765
1.360000000000001,36073,27498
1.370000000000001,35200,36437
1.380000000000001,37771,33575
1.390000000000001,36771,32734
1.400000000000001,38769,32836
1.410000000000001,35768,31456
1.420000000000001,35865,33117
1.430000000000001,37156,33308
1.440000000000001,39604,37959
1.450000000000001,37832,37136
1.460000000000001,34498,36680
1.470000000000001,38404,36328
1.480000000000001,37041,33272
1.490000000000001,35284,37656
1.500000000000001,35756,30408
1.5100000000000011,33549,31079
1.5200000000000011,34957,39347
1.5300000000000011,37205,38718
1.5400000000000011,35176,34929
1.5500000000000012,36553,37846
1.5600000000000012,34475,25972
1.5700000000000012,37103,31038
1.5800000000000012,39738,34386
1.5900000000000012,35763,29915
1.6000000000000012,36205,28990
1.6100000000000012,34049,31150
1.6200000000000012,35746,33857
1.6300000000000012,35948,36206
1.6400000000000012,40309,30994
1.6500000000000012,35635,29459
1.6600000000000013,34544,32234
1.6700000000000013,37363,27597
1.6800000000000013,36860,31011
1.6900000000000013,35170,29815
1.7000000000000013,36442,32388
1.7100000000000013,35183,29513
1.7200000000000013,37701,35091
1.7300000000000013,35948,30081
1.7400000000000013,34340,30616
1.7500000000000013,39549,38548
1.7600000000000013,35631,26815
1.7700000000000014,38671,32872
1.7800000000000014,37978,32401
1.7900000000000014,38475,37479
1.8000000000000014,33604,29412
1.8100000000000014,37222,33747
1.8200000000000014,37655,32330
1.8300000000000014,34087,29962
1.8400000000000014,37127,31668
1.8500000000000014,37804,31392
1.8600000000000014,37163,32463
1.8700000000000014,34733,31959
1.8800000000000014,36791,28866
1.8900000000000015,36864,30739
1.9000000000000015,36137,37141
1.9100000000000015,35685,32148
1.9200000000000015,36725,36718
1.9300000000000015,36467,34121
1.9400000000000015,38758,39383
1.9500000000000015,36809,29412
1.9600000000000015,36189,30214
1.9700000000000015,36934,35211
1.9800000000000015,36666,34060
1.9900000000000015,37311,29306
2.0000000000000013,35048,36932
2.010000000000001,38275,32609
2.020000000000001,36313,39615
2.0300000000000007,36862,31922
2.0400000000000005,36678,37455
2.0500000000000003,36866,30860
2.06,35185,33346
2.07,38115,35254
2.0799999999999996,39207,34845
2.0899999999999994,33746,32815
2.099999999999999,34041,36528
2.109999999999999,37127,32905
2.1199999999999988,38655,33441
2.1299999999999986,34275,32951
2.1399999999999983,35418,31692
2.149999999999998,37675,34561
2.159999999999998,35233,34143
